,failedCount,machine,employeeID,timestamp
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
0,6,Machine One,,2022-10-21 11:25:16
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
1,4,Machine Two,,2022-10-21 11:28:15
